,AMC_name,Mutual Fund Name,category,risk_type,fund_rating,return_1yr,return_3yr,return_5yr
44,IDFC,IDFC Sterling Value Fund Direct Plan Growth,Equity,Very High Risk,3.0,3.09,24.37,10.47
45,Mirae,Mirae Asset Midcap Fund Direct Growth,Equity,Moderately High Risk,4.0,3.66,24.11,
46,Parag,Parag Parikh Tax Saver Fund Direct Growth,Equity,Moderately High Risk,5.0,7.68,24.08,
47,Templeton,Templeton India Equity Income Direct Plan Growth,Equity,Very High Risk,,7.44,23.84,12.68
48,ICICI,ICICI Prudential Dividend Yield Equity Fund Direct Growth,Equity,Very High Risk,,11.22,23.61,10.51
49,Baroda,Baroda Midcap Direct Fund Growth,Equity,Very High Risk,4.0,27.49,23.56,16.94
50,ICICI,ICICI Prudential Thematic Advantage Fund (FOF)Direct Growth,Other,Very High Risk,,6.73,23.54,15.15
51,Quant,Quant Focused Fund Direct Growth,Equity,Very High Risk,5.0,10.67,23.48,13.32
52,Templeton,Templeton India Value Fund Direct Plan Growth,Equity,Very High Risk,3.0,13.11,23.42,10.58
53,Edelweiss,Edelweiss Mid Cap Direct Plan Growth,Equity,Very High Risk,4.0,2.34,23.42,11.93
54,Bank,Bank of India Mid & Small Cap Equity & Debt Fund Direct Growth,Hybrid,Very High Risk,4.0,-3.49,23.4,9.84
55,SBI,SBI Healthcare Opportunities Fund Direct Plan Growth,Equity,Very High Risk,,1.1,23.21,12.18
56,HDFC,HDFC Mid Cap Opportunities Direct Plan Growth,Equity,Very High Risk,3.0,11.16,23.2,11.91
57,DSP,DSP Natural Resources and New Energy Fund Direct Plan Growth,Equity,Very High Risk,,8.65,23.14,11.09
58,HDFC,HDFC Retirement Savings Fund Equity Plan Direct Growth,Solution Oriented,Very High Risk,5.0,9.61,23.03,13.51
59,Motilal,Motilal Oswal Midcap Fund Direct Growth,Equity,Very High Risk,4.0,10.73,23.02,14.55
60,Franklin,Franklin India Smaller Companies Direct Fund Growth,Equity,Very High Risk,2.0,2.25,22.98,9.17
61,Nippon,Nippon India Pharma Fund Direct Growth,Equity,Very High Risk,,-1.85,22.93,14.89
62,Aditya,Aditya Birla Sun Life PSU Equity Fund Direct Growth,Equity,Very High Risk,,24.66,22.81,
63,Principal,Principal Emerging Bluechip Fund Direct Growth,Equity,Very High Risk,4.0,41.77,22.81,20.68
64,Canara,Canara Robeco Infrastructure Direct Growth,Equity,Very High Risk,4.0,7.31,22.78,10.56
65,IDFC,IDFC Tax Advantage (ELSS) Direct Plan Growth,Equity,Very High Risk,4.0,3.91,22.77,11.88
66,PGIM,PGIM India Flexi Cap Fund Direct Growth,Equity,Very High Risk,5.0,-5.04,22.68,14.49
67,ICICI,ICICI Prudential MNC Fund Direct Growth,Equity,High Risk,,0.8,22.62,
68,Invesco,Invesco India Infrastructure Fund Direct Growth,Equity,Very High Risk,5.0,2.98,22.58,12.51
69,Mahindra,Mahindra Manulife Multi Cap Badhat Yojana Direct Growth,Equity,Very High Risk,5.0,1.14,22.45,14.62
70,Bank,Bank of India Tax Advantage Direct Growth,Equity,Very High Risk,4.0,0.2,22.43,12.45
71,Parag,Parag Parikh Flexi Cap Fund Direct Growth,Equity,Very High Risk,5.0,-1.53,22.36,16.05
72,Kotak,Kotak Infrastructure and Economic Reform Fund Direct Growth,Equity,Very High Risk,4.0,14.0,22.31,10.72
73,ICICI,ICICI Prudential Pharma Healthcare And Diagnostics (P.H.D) Fund Direct Growth,Equity,Very High Risk,,-2.77,22.22,
74,Tata,Tata India Pharma & HealthCare Fund Direct Growth,Equity,Very High Risk,,-0.35,22.14,14.56
75,Nippon,Nippon India Growth Fund Direct Growth,Equity,Very High Risk,4.0,4.57,22.01,12.85
76,Mahindra,Mahindra Manulife Mid Cap Unnati Yojana Direct Growth,Equity,Very High Risk,3.0,0.68,21.95,
77,ICICI,ICICI Prudential Focused Equity Fund Direct Growth,Equity,Very High Risk,4.0,6.94,21.86,12.87
78,Kotak,Kotak Emerging Equity Fund Direct Growth,Equity,Very High Risk,4.0,4.06,21.75,13.58
79,Nippon,Nippon India Consumption Fund Direct Growth,Equity,Very High Risk,5.0,10.95,21.73,12.85
80,UTI,UTI Mid Cap Fund Direct Growth,Equity,Very High Risk,3.0,-1.42,21.66,10.38
81,Tata,Tata Infrastructure Direct Plan Growth,Equity,Very High Risk,4.0,5.9,21.66,10.14
82,Motilal,Motilal Oswal Nifty Midcap 150 Index Fund Direct Growth,Other,Moderately High Risk,3.0,2.58,21.64,
83,ICICI,ICICI Prudential Manufacturing Fund Direct Growth,Equity,Very High Risk,,6.96,21.52,
84,JM,JM Equity Hybrid Fund Direct Growth,Hybrid,Very High Risk,4.0,7.16,21.5,10.33
85,Mahindra,Mahindra Manulife Top 250 Nivesh Yojana Direct Growth,Equity,Moderately High Risk,2.0,1.69,21.45,
86,HDFC,HDFC Focused 30 Fund Direct Plan Growth,Equity,Very High Risk,3.0,18.64,21.44,9.98
87,Motilal,Motilal Oswal Nifty Smallcap 250 Index Fund Direct Growth,Other,Moderately High Risk,2.0,-7.12,21.41,
88,DSP,DSP The Infrastructure Growth and Economic Reforms Regular Fund Direct Growth,Equity,Very High Risk,3.0,13.42,21.31,9.98
89,ICICI,ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Equity,Very High Risk,3.0,10.22,21.11,12.31
90,Nippon,Nippon India Power & Infra Fund Direct Growth,Equity,Very High Risk,3.0,11.33,21.07,7.12
91,HDFC,HDFC Flexi Cap Direct Plan Growth,Equity,Very High Risk,3.0,16.21,20.83,11.87
92,Baroda,Baroda BNP Paribas Midcap Direct Growth,Equity,Very High Risk,3.0,1.66,20.81,11.1
93,IDFC,IDFC Infrastructure Direct Plan Growth,Equity,Very High Risk,2.0,2.19,20.74,6.14
94,SBI,SBI Magnum COMMA Fund Direct Growth,Equity,Very High Risk,,-9.04,20.67,9.84
95,Kotak,Kotak Multi Asset Allocator FoF Dynamic Direct Growth,Other,High Risk,,11.05,20.5,15.75
96,Canara,Canara Robeco Equity Tax Saver Direct Growth,Equity,Very High Risk,5.0,-0.22,20.38,14.85
97,ICICI,ICICI Prudential Midcap Direct Plan Growth,Equity,Very High Risk,3.0,4.33,20.38,10.39
98,ICICI,ICICI Prudential Equity & Debt Fund Direct Growth,Hybrid,Very High Risk,5.0,9.44,20.33,13.42
99,Aditya,Aditya Birla Sun Life Infrastructure Direct Fund Growth,Equity,Very High Risk,2.0,7.96,20.33,7.27
100,Franklin,Franklin Build India Direct Fund Growth,Equity,Very High Risk,3.0,9.56,20.31,11.18
101,ICICI,ICICI Prudential Multi Asset Fund Direct Growth,Hybrid,Very High Risk,4.0,13.32,20.29,13.2
102,Invesco,Invesco India Mid Cap Fund Direct Growth,Equity,Very High Risk,4.0,0.15,20.22,12.86
103,PGIM,PGIM India ELSS Tax Saver Fund Direct Growth,Equity,Very High Risk,4.0,4.45,20.15,12.82
104,UTI,UTI Healthcare Fund Direct Growth,Equity,Very High Risk,,-5.92,20.1,11.22
105,SBI,SBI Consumption Opportunities Fund Direct Growth,Equity,Very High Risk,3.0,10.51,19.96,11.66
106,Kotak,Kotak Pioneer Fund Direct Growth,Equity,Very High Risk,,-3.95,19.9,
107,Sundaram,Sundaram Services Fund Direct Growth,Equity,Very High Risk,,2.49,19.88,
108,Franklin,Franklin India Technology Fund Direct Growth,Equity,Very High Risk,,-15.51,19.8,16.51
109,Nippon,Nippon India Focused Equity Fund Direct Growth,Equity,Very High Risk,3.0,4.23,19.72,9.98
110,ICICI,ICICI Prudential BHARAT 22 FOF Direct Growth,Other,Very High Risk,4.0,25.38,19.71,
111,Nippon,Nippon India Value Fund Direct Growth,Equity,Very High Risk,3.0,3.48,19.65,10.72
112,HDFC,HDFC Large and Mid Cap Fund Direct Growth,Equity,Very High Risk,3.0,7.46,19.64,11.6
113,Tata,Tata Ethical Direct Plan Growth,Equity,Very High Risk,,-2.84,19.55,11.81
114,Franklin,Franklin India Focused Equity Fund Direct Growth,Equity,Very High Risk,3.0,7.94,19.55,11.92
115,SBI,SBI Infrastructure Fund Direct Growth,Equity,Very High Risk,4.0,7.78,19.5,10.58
116,Franklin,Franklin India Flexi Cap Fund Direct Growth,Equity,Very High Risk,4.0,3.98,19.45,11.1
117,BNP,BNP Paribas Multi Cap Fund Direct Growth,Equity,Very High Risk,,20.46,19.42,15.26
118,Nippon,Nippon India Multi Cap Fund Direct Growth,Equity,Very High Risk,,11.85,19.38,10.98
119,Taurus,Taurus Discovery (Midcap) Fund Direct Growth,Equity,Very High Risk,3.0,4.05,19.28,10.63
120,IIFL,IIFL Focused Equity Fund Direct Growth,Equity,Very High Risk,5.0,0.82,19.26,16.06
121,ICICI,ICICI Prudential Retirement Fund Pure Equity Plan Direct Growth,Solution Oriented,Moderately High Risk,5.0,2.92,19.22,
122,SBI,SBI Large & Midcap Fund Direct Plan Growth,Equity,Very High Risk,5.0,5.29,19.2,11.91
123,HSBC,HSBC Value Fund Direct Growth,Equity,Very High Risk,3.0,4.69,19.07,9.7
124,Mahindra,Mahindra Manulife ELSS Kar Bachat Yojana Direct Growth,Equity,Very High Risk,3.0,2.28,19.06,10.57
125,DSP,DSP Nifty 50 Equal Weight Index Fund Direct Growth,Other,Very High Risk,3.0,6.4,18.94,9.99
126,Mirae,Mirae Asset Tax Saver Fund Direct Growth,Equity,Very High Risk,5.0,0.47,18.9,13.74
127,Mirae,Mirae Asset Emerging Bluechip Fund Direct Growth,Equity,Very High Risk,5.0,-1.54,18.9,13.43
128,Aditya,Aditya Birla Sun Life Dividend Yield Fund Direct Growth,Equity,Very High Risk,,9.99,18.87,8.72
129,Invesco,Invesco India PSU Equity Fund Direct Growth,Equity,Very High Risk,,19.36,18.86,10.77
130,Tata,Tata Midcap Growth Direct Plan Growth,Equity,Very High Risk,3.0,0.29,18.76,11.37
131,Canara,Canara Robeco Consumer Trends Fund Direct Growth,Equity,Very High Risk,4.0,4.09,18.55,14.07
132,ICICI,ICICI Prudential Exports and Services Fund Direct Growth,Equity,Very High Risk,,8.17,18.42,10.94
133,Union,Union Long Term Equity Fund Direct Growth,Equity,Very High Risk,4.0,1.58,18.41,11.66
134,Axis,Axis Midcap Direct Plan Growth,Equity,Very High Risk,5.0,-5.21,18.35,14.95
135,HDFC,HDFC Balanced Advantage Fund Direct Plan Growth,Hybrid,Very High Risk,3.0,17.09,18.24,11.03
136,Mahindra,Mahindra Manulife Hybrid Equity Nivesh Yojana Direct Growth,Hybrid,Moderately High Risk,4.0,4.28,18.23,
137,Nippon,Nippon India Quant Fund Retail Direct Growth,Equity,Very High Risk,,6.79,18.22,11.15
138,Edelweiss,Edelweiss Large & Mid Cap Direct Plan Growth,Equity,Very High Risk,5.0,1.86,18.19,12.41
139,DSP,DSP Tax Saver Direct Plan Growth,Equity,Very High Risk,4.0,4.13,18.15,12.19
140,Canara,Canara Robeco Emerging Equities Fund Direct Growth,Equity,Very High Risk,4.0,-1.9,18.14,11.33
141,Baroda,Baroda BNP Paribas Multi Cap Fund Direct Growth,Equity,Very High Risk,4.0,-1.1,18.09,10.72
142,Sundaram,Sundaram Select Focus Fund Direct Growth,Equity,Very High Risk,5.0,25.71,18.04,18.5
143,SBI,SBI Long Term Equity Fund Direct Plan Growth,Equity,Very High Risk,3.0,7.79,18.04,9.84
144,Axis,Axis Growth Opportunities Fund Direct Growth,Equity,Very High Risk,4.0,-8.68,17.98,
145,UTI,UTI Core Equity Fund Direct Growth,Equity,Very High Risk,2.0,4.81,17.96,9.38
146,Kotak,Kotak India EQ Contra Fund Direct Growth,Equity,Very High Risk,4.0,7.78,17.91,13.74
147,Sundaram,Sundaram Infrastructure Advantage Fund Direct Growth,Equity,Very High Risk,3.0,0.81,17.89,6.71
148,SBI,SBI Equity Minimum Variance Fund Direct Growth,Equity,Very High Risk,,8.05,17.89,
149,Invesco,Invesco India Contra Fund Direct Growth,Equity,Very High Risk,4.0,4.0,17.85,11.48
150,Aditya,Aditya Birla Sun Life Small Cap Fund Direct Growth,Equity,Very High Risk,1.0,-5.75,17.84,4.22
151,IDBI,IDBI Long Term Value Fund Direct Growth,Equity,Very High Risk,2.0,5.19,17.84,
152,Union,Union Large & Midcap Fund Direct Growth,Equity,Moderately High Risk,4.0,-1.78,17.78,
153,Invesco,Invesco India Multicap Fund Direct Growth,Equity,Very High Risk,,-0.73,17.77,9.55
154,Kotak,Kotak Tax Saver Fund Direct Growth,Equity,Very High Risk,4.0,5.76,17.76,13.12
155,UTI,UTI Transportation and Logistics Fund Direct Growth,Equity,Very High Risk,,11.32,17.7,4.48
156,Union,Union Flexi Cap Fund Direct Growth,Equity,Very High Risk,4.0,-0.73,17.66,12.1
157,IDFC,IDFC Core Equity Fund Direct Growth,Equity,Very High Risk,3.0,6.92,17.65,10.28
158,Tata,Tata Focused Equity Fund Direct Growth,Equity,Very High Risk,3.0,4.74,17.65,
159,JM,JM Value Fund Direct Plan Growth,Equity,Very High Risk,2.0,6.1,17.64,10.65
160,Aditya,Aditya Birla Sun Life Pharma & Healthcare Fund Direct Growth,Equity,High Risk,,-5.37,17.64,
161,Baroda,Baroda Equity Linked Saving Scheme 96 Direct Growth,Equity,Very High Risk,3.0,18.49,17.55,12.53
162,Motilal,Motilal Oswal Large and Midcap Fund Direct Growth,Equity,Moderately High Risk,4.0,0.17,17.5,
163,Union,Union Focused Fund Direct Growth,Equity,Moderately High Risk,4.0,-0.58,17.45,
164,HDFC,HDFC Capital Builder Value Fund Direct Plan Growth,Equity,Very High Risk,2.0,4.34,17.44,8.86
165,Tata,Tata Large & Mid Cap Fund Direct Plan Growth,Equity,Very High Risk,4.0,8.92,17.41,12.26
166,JM,JM Flexicap Fund Direct Plan Growth,Equity,Very High Risk,3.0,5.71,17.39,12.52
167,Franklin,Franklin India Opportunities Direct Fund Growth,Equity,Very High Risk,,-1.74,17.38,8.7
168,Mirae,Mirae Asset Focused Fund Direct Growth,Equity,Very High Risk,4.0,-5.67,17.28,
169,Canara,Canara Robeco Flexi Cap Fund Direct Growth,Equity,Very High Risk,4.0,-1.49,17.27,13.14
170,Kotak,Kotak Equity Opportunities Fund Direct Growth,Equity,Very High Risk,4.0,6.11,17.21,12.51
171,HDFC,HDFC Taxsaver Direct Plan Growth,Equity,Very High Risk,2.0,12.33,17.2,8.27
172,IDBI,IDBI India Top 100 Equity Fund Direct Growth,Equity,Very High Risk,4.0,2.54,17.18,11.64
173,Bank,Bank of India Large & Mid Cap Equity Fund Direct Growth,Equity,Very High Risk,2.0,2.01,17.14,8.38
174,Sundaram,Sundaram Equity Hybrid Fund Direct Growth,Hybrid,High Risk,4.0,30.11,17.11,15.7
175,Sundaram,Sundaram Large and Mid Cap Fund Direct Growth,Equity,Very High Risk,3.0,-0.73,17.09,10.21
176,IDBI,IDBI Healthcare Fund Direct Growth,Equity,High Risk,,-5.7,17.08,
177,Sundaram,Sundaram Dividend Yield Fund Direct Growth,Equity,Very High Risk,,1.94,17.04,10.22
178,Sundaram,Sundaram Diversified Equity Fund Direct Growth,Equity,Very High Risk,2.0,31.78,17.03,14.26
179,UTI,UTI Value Opportunities Fund Direct Growth,Equity,Very High Risk,4.0,3.69,17.02,11.71
180,Edelweiss,Edelweiss Flexi Cap Fund Direct Growth,Equity,Very High Risk,3.0,2.24,16.95,11.06
181,Sundaram,Sundaram Focused Fund Direct Growth,Equity,Very High Risk,4.0,-1.59,16.9,11.94
182,IDBI,IDBI Dividend Yield Fund Direct Growth,Equity,Very High Risk,,-0.05,16.9,
183,Sundaram,Sundaram Multi Cap Fund Direct Growth,Equity,Very High Risk,,-2.55,16.9,8.42
184,HDFC,HDFC Infrastructure Direct Plan Growth,Equity,Very High Risk,1.0,16.15,16.86,1.71
185,Kotak,Kotak Equity Hybrid Fund Direct Growth,Hybrid,Very High Risk,4.0,4.95,16.84,11.79
186,HSBC,HSBC Infrastructure Fund Direct Growth,Equity,Very High Risk,3.0,2.67,16.82,6.58
187,ICICI,ICICI Prudential Bluechip Fund Direct Growth,Equity,Very High Risk,4.0,6.1,16.78,11.35
188,Edelweiss,Edelweiss Recently Listed IPO Fund Direct Growth,Equity,Very High Risk,,-19.51,16.77,
189,Aditya,Aditya Birla Sun Life Pure Value Direct Fund Growth,Equity,Very High Risk,1.0,1.77,16.75,2.54
190,IDBI,IDBI Flexi Cap Fund Direct Growth,Equity,Very High Risk,3.0,-1.31,16.75,11.12
191,Navi,Navi Large & Midcap Fund Direct Growth,Equity,Very High Risk,3.0,-0.19,16.72,11.04
192,Franklin,Franklin India Taxshield Direct Growth,Equity,Very High Risk,3.0,4.16,16.71,10.49
193,SBI,SBI Magnum Global Direct Plan Growth,Equity,Very High Risk,,-1.25,16.7,9.48
194,Canara,Canara Robeco Bluechip Equity Fund Direct Growth,Equity,Very High Risk,5.0,1.37,16.68,13.89
195,Edelweiss,Edelweiss Aggressive Hybrid Fund Direct Growth,Hybrid,Very High Risk,4.0,7.26,16.64,11.76
196,Taurus,Taurus Ethical Fund Direct Growth,Equity,Very High Risk,,0.11,16.63,11.58
197,HSBC,HSBC Tax Saver Equity Fund Direct Growth,Equity,Very High Risk,2.0,4.18,16.59,9.8
198,UTI,UTI Dividend Yield Fund Direct Growth,Equity,Very High Risk,,-1.01,16.59,10.36
199,Nippon,Nippon India Large Cap Fund Direct Growth,Equity,Very High Risk,3.0,10.96,16.54,10.75
200,SBI,SBI PSU Direct Plan Growth,Equity,Very High Risk,,24.11,16.53,5.64
201,LIC,LIC MF Infrastructure Fund Direct Growth,Equity,Very High Risk,3.0,4.38,16.41,9.51
202,HDFC,HDFC Hybrid Equity Fund Direct Plan Growth,Hybrid,Very High Risk,3.0,8.41,16.37,10.53
203,Aditya,Aditya Birla Sun Life Mid Cap Direct Fund Growth,Equity,Very High Risk,1.0,-5.5,16.33,6.68
204,UTI,UTI Hybrid Equity Fund Direct Fund Growth,Hybrid,Very High Risk,3.0,6.05,16.31,8.95
205,Taurus,Taurus Infrastructure Fund Direct Growth,Equity,Very High Risk,3.0,2.2,16.31,8.12
206,Tata,Tata India Tax Savings Fund Direct Growth,Equity,Very High Risk,3.0,4.8,16.29,10.87
207,JM,JM Tax Gain Direct Plan Growth,Equity,Very High Risk,3.0,-0.61,16.12,12.07
208,DSP,DSP Equity Opportunities Direct Plan Growth,Equity,Very High Risk,3.0,4.97,16.12,10.51
209,Baroda,Baroda BNP Paribas Balanced Advantage Fund Direct Growth,Hybrid,Very High Risk,4.0,5.32,16.09,
210,Sundaram,Sundaram Smart NIFTY 100 Equal Weight Fund Direct Growth,Other,Very High Risk,2.0,34.35,16.08,
211,ICICI,ICICI Prudential Multicap Fund Direct Plan Growth,Equity,Very High Risk,,4.21,16.06,11.04
212,Motilal,Motilal Oswal Nifty 500 Index Fund Direct Growth,Other,Moderately High Risk,3.0,2.21,16.04,
213,HDFC,HDFC Retirement Savings Fund Hybrid Equity Plan Direct Growth,Solution Oriented,Very High Risk,4.0,5.96,16.02,11.26
214,Tata,Tata Equity PE Fund Direct Growth,Equity,Very High Risk,2.0,6.76,15.97,9.15
215,Quantum,Quantum India ESG Equity Fund Direct Growth,Equity,High Risk,,-0.64,15.96,
216,HDFC,HDFC Top 100 Fund Direct Plan Growth,Equity,Very High Risk,2.0,10.1,15.95,9.95
217,SBI,SBI Bluechip Direct Plan Growth,Equity,Very High Risk,3.0,5.14,15.92,10.81
218,Kotak,Kotak Bluechip Fund Direct Growth,Equity,Very High Risk,5.0,2.9,15.9,11.66
219,Mirae,Mirae Asset Great Consumer Fund Direct Growth,Equity,Very High Risk,3.0,6.13,15.9,12.29
220,JM,JM Large Cap Fund Direct Plan Growth,Equity,Very High Risk,4.0,4.71,15.88,10.12
221,Kotak,Kotak Focused Equity Fund Direct Growth,Equity,Very High Risk,3.0,0.27,15.87,
222,Mahindra,Mahindra Manulife Large Cap Pragati Yojana Direct Growth,Equity,Moderately High Risk,4.0,2.29,15.81,
223,ICICI,ICICI Prudential Long Term Equity Fund (Tax Saving) Direct Plan Growth,Equity,Very High Risk,4.0,1.99,15.79,11.3
224,Aditya,Aditya Birla Sun Life India GenNext Direct Fund Growth,Equity,Very High Risk,3.0,3.45,15.7,12.46
225,IDBI,IDBI Midcap Fund Direct Growth,Equity,Very High Risk,1.0,-5.02,15.7,6.8
226,Sundaram,Sundaram Mid Cap Fund Direct Growth,Equity,Very High Risk,2.0,4.38,15.66,7.09
227,Aditya,Aditya Birla Sun Life International Equity Fund Plan B Direct Growth,Equity,Very High Risk,,26.07,15.65,12.41
228,Baroda,Baroda BNP Paribas India Consumption Fund Direct Growth,Equity,Very High Risk,4.0,1.6,15.64,
229,Franklin,Franklin India Prima Direct Fund Growth,Equity,Very High Risk,2.0,1.52,15.62,8.71
230,Edelweiss,Edelweiss Large Cap Fund Direct Growth,Equity,Very High Risk,4.0,4.91,15.62,11.85
231,Sundaram,Sundaram Balanced Advantage Fund Direct Growth,Hybrid,Moderately High Risk,5.0,6.15,15.51,10.47
232,Nippon,Nippon India Vision Direct Growth,Equity,Very High Risk,1.0,1.98,15.47,6.27
233,Quantum,Quantum Tax Saving Fund Direct Growth,Equity,Very High Risk,2.0,7.75,15.47,8.14
234,IDFC,IDFC Nifty 50 Index Direct Plan Growth,Other,Very High Risk,4.0,4.2,15.45,11.59
235,Taurus,Taurus Nifty 50 Index Fund Direct Growth,Other,Very High Risk,,3.8,15.42,11.52
236,IDBI,IDBI Focused 30 Equity Fund Direct Growth,Equity,Very High Risk,3.0,0.36,15.37,9.76
237,Motilal,Motilal Oswal Nifty 50 Index Fund Direct Growth,Other,Very High Risk,3.0,3.96,15.36,
238,Aditya,Aditya Birla Sun Life Frontline Equity Direct Fund Growth,Equity,Very High Risk,2.0,3.45,15.3,9.73
239,Navi,Navi Flexi Cap Fund Direct Growth,Equity,Very High Risk,3.0,3.08,15.23,
240,ICICI,ICICI Prudential FMCG Direct Growth,Equity,Very High Risk,,17.67,15.22,11.83
241,Quantum,Quantum Long Term Equity Value Fund Direct Growth,Equity,Very High Risk,2.0,7.2,15.22,8.13
242,Edelweiss,Edelweiss Balanced Advantage Fund Direct Growth,Hybrid,Very High Risk,4.0,3.02,15.15,11.2
243,UTI,UTI Nifty 50 Index Fund Direct Growth,Other,Very High Risk,3.0,3.9,15.12,11.41
244,ICICI,ICICI Prudential Nifty 50 Index Direct Plan Growth,Other,Very High Risk,3.0,3.84,15.11,11.29
245,HDFC,HDFC Housing Opportunities Fund Direct Growth,Equity,Very High Risk,,10.13,15.1,7.31
246,Tata,Tata Nifty 50 Index Direct,Other,Very High Risk,3.0,4.0,15.08,11.39
247,Baroda,Baroda BNP Paribas Large Cap Fund Direct Growth,Equity,Very High Risk,5.0,4.25,15.08,11.47
248,Sundaram,Sundaram Nifty 100 Equal Weight Fund Direct Growth,Other,Very High Risk,2.0,0.75,15.07,7.7
249,HSBC,HSBC Business Cycles Fund Direct Growth,Equity,Very High Risk,,3.15,15.06,6.9
250,Edelweiss,Edelweiss Long Term Equity Fund (Tax Savings) Direct Growth,Equity,Very High Risk,3.0,0.65,15.05,9.11
